,site_tundra,Site,Tundra,Increment,Abundance
ITT_0_10,ITT,Imnavait,MAT,0-10,0.0
ITT_10_20,ITT,Imnavait,MAT,10-20,0.0
ITT_20_30,ITT,Imnavait,MAT,20-30,0.2
ITT_30_40,ITT,Imnavait,MAT,30-40,0.2
ITT_40_50,ITT,Imnavait,MAT,40-50,0.1
ITT_50_60,ITT,Imnavait,MAT,50-60,0.2
ITT_60_70,ITT,Imnavait,MAT,60-70,0.2
IWS_0_10,IWS,Imnavait,WS,0-10,0.3
IWS_10_20,IWS,Imnavait,WS,10-20,1.4
IWS_20_30,IWS,Imnavait,WS,20-30,1.1
IWS_30_40,IWS,Imnavait,WS,30-40,1.0
IWS_40_50,IWS,Imnavait,WS,40-50,0.6
IWS_50_60,IWS,Imnavait,WS,50-60,0.8
IWS_60_70,IWS,Imnavait,WS,60-70,0.8
IWS_70_80,IWS,Imnavait,WS,70-80,0.8
IWS_80_90,IWS,Imnavait,WS,80-90,0.3
IWS_90_100,IWS,Imnavait,WS,90-100,0.7
STT_0_10,STT,Sagwon,MAT,0-10,0.1
STT_10_20,STT,Sagwon,MAT,10-20,0.0
STT_20_30,STT,Sagwon,MAT,20-30,0.2
STT_30_40,STT,Sagwon,MAT,30-40,0.4
STT_40_50,STT,Sagwon,MAT,40-50,0.4
STT_50_60,STT,Sagwon,MAT,50-60,0.5
STT_60_70,STT,Sagwon,MAT,60-70,0.4
STT_70_80,STT,Sagwon,MAT,70-80,0.5
STT_80_90,STT,Sagwon,MAT,80-90,0.2
SWS_0_10,SWS,Sagwon,WS,0-10,0.1
SWS_10_20,SWS,Sagwon,WS,10-20,0.1
SWS_20_30,SWS,Sagwon,WS,20-30,0.1
SWS_30_40,SWS,Sagwon,WS,30-40,0.0
SWS_40_50,SWS,Sagwon,WS,40-50,1.0
SWS_50_60,SWS,Sagwon,WS,50-60,1.4
SWS_60_70,SWS,Sagwon,WS,60-70,1.2
TTT_0_10,TTT,Toolik,MAT,0-10,0.0
TTT_10_20,TTT,Toolik,MAT,10-20,0.0
TTT_20_30,TTT,Toolik,MAT,20-30,0.0
TTT_30_40,TTT,Toolik,MAT,30-40,0.1
TTT_40_50,TTT,Toolik,MAT,40-50,0.2
TTT_50_60,TTT,Toolik,MAT,50-60,0.3
TTT_60_70,TTT,Toolik,MAT,60-70,0.5
TTT_70_80,TTT,Toolik,MAT,70-80,0.6
TTT_80_90,TTT,Toolik,MAT,80-90,0.4
TWS_0_10,TWS,Toolik,WS,0-10,1.0
TWS_10_20,TWS,Toolik,WS,10-20,2.5
TWS_20_30,TWS,Toolik,WS,20-30,2.2
TWS_30_40,TWS,Toolik,WS,30-40,1.1
TWS_40_50,TWS,Toolik,WS,40-50,1.4
TWS_50_60,TWS,Toolik,WS,50-60,0.6
TWS_60_70,TWS,Toolik,WS,60-70,0.6
TWS_70_80,TWS,Toolik,WS,70-80,0.5
TWS_80_90,TWS,Toolik,WS,80-90,0.5