Phylum,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
Depth_0-10,32.02606612,5.213223206,2.87400717,0,8.774536019,2.695743459,0.065363361,0.221839285,3.246380256,0.318893973,4.028759879,12.36159804,10.56707667,13.01523164,0.344643175
Depth_10-20,14.38588151,3.995087844,12.46063343,0.021787787,16.60229366,16.60229366,0.507061224,0.027729911,2.493711252,0.934894131,1.675678888,16.80234516,2.29762117,3.068116545,1.467704558
Depth_20-30,11.8505754,4.557608889,19.14948403,0.148553093,16.92712976,16.82611365,0.689286351,0.178263711,1.287460138,0.913106344,1.483550221,16.80630657,0.913106344,1.25774952,1.099292887
Depth_30-40,8.326896033,3.834650504,23.98043061,0.651652901,14.78796522,15.29898786,1.358765623,0.118842474,0.915087052,1.158714124,2.024283479,19.16136827,0.320874681,0.974508289,1.018083863
Depth_40-50,8.095153208,7.201853943,20.53994097,1.628141898,9.376671222,11.87434389,0.921029176,0.126765306,0.758611128,1.081466516,1.517222255,29.26694,1.08740864,1.548913582,0.608077327
Depth_50-60,6.855230059,8.184285063,19.08808208,1.768772159,12.70822192,12.94788758,1.053736605,0.265414859,0.614019451,1.115138551,2.063897637,25.36296472,0.821993781,1.047794482,0.786341038
Depth_60-70,6.966149702,7.33654208,23.06732426,3.478123081,9.362806267,10.78693525,2.464000634,0.071305485,0.604115911,2.432309307,2.386753026,20.73999247,0.483292729,1.582585616,0.798225286
Depth_70-80,6.447204231,8.004040644,27.2624636,2.711589122,8.604195139,7.815873393,3.230534593,0.142610969,0.372373086,4.088181116,2.386753026,16.12890447,0.265414859,2.034187018,0.827935904
Depth_80-90,2.731396201,16.20219066,47.52114406,3.71580803,2.54322895,1.778675699,17.47974726,0.003961416,0.136668845,0.370392378,0.473389189,3.426624676,0.299086894,0.366430962,0.261453443
Depth_90-100,6.88295997,13.63915463,22.17798641,2.584823816,10.90775843,6.926535544,11.62873611,0.205993622,0.950739794,0.715035554,1.576643492,12.49232476,2.008437816,2.113415335,0.667498564