Phylum,Depth_0-10,Depth_10-20,Depth_20-30,Depth_30-40,Depth_40-50,Depth_50-60,Depth_60-70,Depth_70-80,Depth_80-90
Acidobacteriota,29.35211044,24.34686157,23.7526492,19.31586349,17.61839682,9.507397944,11.55743063,5.542020718,1.269633767
Actinobacteriota,9.818369085,10.96717967,16.04175332,12.40715432,16.97466675,20.7716838,21.36193476,36.0053083,26.9594153
Bacteroidota,3.533582903,3.29985937,3.171113356,5.738110801,7.241468101,10.33533385,8.806227346,8.734921861,5.108245687
Caldisericota,0,0,0,0,0,0.00990354,0.067344069,1.012141739,1.119099966
Chloroflexi,3.634599006,5.41723612,7.950561531,6.817596609,7.225622437,7.605918355,9.675758116,12.0011092,3.844554044
Desulfobacterota,0.346623883,0.63382653,0.619961574,9.865906075,3.188939727,4.325866065,2.941351239,4.484322697,3.91387882
Firmicutes,0.00990354,0.019807079,0.130726722,0.128746014,0.229762117,1.095331471,1.471665973,2.885891418,2.198585775
Gemmatimonadota,1.259730228,2.414482936,2.998791768,3.226573177,1.33301642,1.917325252,1.063640145,0.4258522,0.041594866
Myxococcota,0.9269713,1.958920118,1.752926496,1.04977519,0.701170598,0.431794323,0.818032365,0.299086894,0.039614158
Patescibacteria,0.140630261,0.087151148,0.21787787,0.790302454,1.424128984,1.233981025,0.871511478,0.653633609,0.108938935
Planctomycetota,3.101788579,2.755164696,2.121338166,1.018083863,1.269633767,0.903202805,0.994315368,0.404064413,0.178263711
Verrucomicrobiota,19.65654525,17.10935488,15.82387545,11.92980371,14.80579159,6.783924575,8.778497435,3.484065205,0.459524234
Alphaproteobacteria,12.01101274,8.350664528,6.358072375,3.917840236,7.354368451,5.137956306,7.088953592,3.0067146,1.307267217
Gammaproteobacteria,10.91964268,16.4359142,12.84687147,16.8379979,14.40568859,21.05294432,16.67557985,13.33412562,18.55923307
Archaea,0.118842474,0.039614158,0.243627072,0.370392378,0.382276626,0.477350605,0.384257334,0.447639987,0.186186543