Layer,Acidobacteriales,Solibacterales,Vicinamibacterales,Rhizobiales,Burkholderiales,Geobacterales,Syntrophales,Gemmatimonadales,Myxococcales,Tepidisphaerales,Chthoniobacterales,Pedosphaerales,Gaiellales,Micrococcales,Solirubrobacterales,RBG-16-55-12,WCHB1-81,Bacteroidales,Chitinophagales,Sphingobacteriales,Caldisericales,Clostridiales
AL,21.32033989,2.426367184,0.534791134,6.985956781,9.279616535,1.927228792,0.211935746,0.233723533,0.695228475,0.249569196,3.32758928,6.591795908,0.261453443,0.481312021,1.681621011,0,0,0.554598213,0.324836096,0.701170598,0,0.069324777
AL,7.340503496,2.357042407,0.277299107,1.802444194,2.448154971,4.581377384,8.665597084,0.019807079,0.134688138,0.154495217,2.214431438,10.46606057,1.192386159,0.360488839,0.251549904,0.509041932,0.093093272,5.221146038,0.067344069,2.357042407,0.023768495,0.338701052
AL,4.943846931,1.719254462,0.316913265,0.522906887,1.051755898,4.470457742,9.295462198,0.093093272,0.28324123,0.118842474,2.563036029,11.48018302,2.030225603,0.511022639,0.104977519,0.635807238,0.108938935,10.87012498,0.025749203,3.165171232,0.124784598,0.447639987
AL,2.778933191,2.135203122,0.057440529,0.182225127,0.780398915,2.511537624,10.25808624,0.095073979,0.142610969,0.08517044,2.763087527,13.29451146,1.638045437,0.364450255,0.00990354,0.657595024,0.204012914,14.057084,0.003961416,3.749480064,0.655614317,1.323112881
AL,3.553389982,2.271871967,0.263434151,0.948759086,1.477608097,1.459781726,9.394497593,0.067344069,0.019807079,0.120823182,0.84180086,24.67169766,3.028502387,2.107473211,0.019807079,0.118842474,0.035652742,13.23905164,0.025749203,3.721750154,1.614276943,0.592231664
PF,2.913621328,1.618238358,0.322855389,0.655614317,0.897260681,1.544952166,10.3234496,0.144591677,0.029710619,0.174302296,1.150791293,20.9222176,3.721750154,1.800463486,0.029710619,0.350585299,0.110919643,11.28211223,0,4.288232614,1.822251273,0.681363519
PF,2.598688771,0.744746172,0.509041932,0.380295918,1.519202963,1.184463327,9.032028047,0.007922832,0.015845663,0.443678571,0.69918989,17.73129717,4.262483412,0.740784756,0.013864955,0.089131856,0.190147959,13.67480738,0.017826371,5.957969378,3.418701844,1.426109692
PF,3.040386634,0.49121556,0.653633609,0.190147959,1.947035871,0.687305643,6.847307228,0.087151148,0.025749203,0.560540337,0.354546715,13.92041516,5.310277893,1.085427932,0.005942124,0.091112564,0.261453443,19.21286668,0,5.621249034,2.650187177,1.853942599
PF,0.513003347,0.215897162,0.128746014,0.235704241,0.34068176,0.263434151,1.348862083,0.001980708,0.001980708,0.124784598,0.13270743,2.870045754,3.383049102,10.16895438,0.003961416,0.027729911,0.215897162,33.29371918,0,13.65698101,3.676193872,9.305365738
PF,3.226573177,1.174559788,0.334739636,1.539010042,1.669736764,1.317170757,4.684374195,0.158456632,0.156475924,0.106958227,1.047794482,9.438073167,5.197377543,3.882187494,0.168360172,0.324836096,0.546675382,13.64311605,0.166379464,6.090676808,2.656129301,5.777724959