Depth,Thaw_Days,Thaw_Prob_July_All,Thaw_Prob_Aug_All,Thaw_Prob_Aug_10,Thaw_Prob_Aug_5,pH,EC,GWC,OC,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
0-10,62,100,100,100,100,4.73,55.6,84.27815571,26.69589789,32.21225266,5.266702319,2.802701686,0,9.020143799,2.691782043,0.08517044,0.233723533,3.250341672,0.350585299,4.090161824,12.19323786,10.46606057,13.01919306,0.342662468
10-20,62,100,100,100,100,4.84,14.2,79.18215613,25.85939808,14.43539921,4.232772793,12.65672351,0.023768495,16.63002357,16.50127756,0.67145998,0.019807079,2.436270723,0.940836255,1.816309149,16.85582427,2.153029493,3.070097253,1.420167568
20-30,51,100,100,100,100,4.51,15.8,76.14678899,23.43741194,11.81294195,4.698239151,19.24059659,0.124784598,16.87761206,16.90930339,0.75663042,0.150533801,1.315190049,0.86953077,1.491473052,16.81026799,0.857646523,1.170598372,1.093350764
30-40,41,52.94117647,100,100,100,4.38,15.4,76.03249831,23.49169469,8.324915325,4.086200408,23.83781964,0.655614317,14.82361796,15.26927724,1.782637115,0.118842474,0.875472894,1.168617664,2.083704716,19.21484739,0.34068176,0.936874839,1.031948819
40-50,32,5.882352941,100,100,100,4.37,14.3,67.5,18.58910081,8.14070949,7.320696417,20.68255194,1.614276943,9.37865193,11.8010577,1.012141739,0.102996811,0.754649712,0.950739794,1.497415176,29.30061204,1.073543685,1.566739953,0.582328124
50-60,18,0,82.35294118,100,100,4.35,14.8,67.90986791,19.45389385,6.888902094,8.316992493,19.05242934,1.822251273,12.77358528,12.91619625,1.283498722,0.265414859,0.651652901,1.121080674,2.046071266,25.47586507,0.790302454,0.996296076,0.782379622
60-70,11,0,35.29411765,50,80,4.33,17.3,80.09708738,19.93432403,6.922574128,7.403886149,23.24558797,3.418701844,9.317249985,10.79287737,2.636322222,0.063382653,0.63382653,2.471923465,2.317428249,20.5973815,0.479331313,1.622199774,0.84180086
70-80,0,0,0,0,0,4.29,22.9,74.61077844,17.95186765,6.453146355,8.063461881,27.30603918,2.650187177,8.600233724,7.823796225,3.359280607,0.134688138,0.364450255,4.050547666,2.394675857,16.05561828,0.259472736,2.020322063,0.835858736
80-90,0,0,0,0,0,5.09,19.6,81.61888702,20.98926136,2.786856022,16.31707172,47.44389645,3.676193872,2.612553727,1.699447382,18.80682156,0.001980708,0.164398756,0.348604591,0.465466358,3.408798305,0.263434151,0.36841167,0.271356983
90-100,0,0,0,0,0,5.16,38.7,79.66101695,21.15507998,7.017648107,13.68867233,22.33446234,2.656129301,10.88200923,6.861172183,12.18333432,0.20797433,1.000257492,0.683344227,1.49345376,12.36357874,2.055974805,2.11737675,0.663537148