Depth,Thaw_Days,Thaw_Prob_July_All,Thaw_Prob_Aug_All,Thaw_Prob_Aug_10,Thaw_Prob_Aug_5,pH,EC,GWC,OC,Acidobacteria,Actinobacteria,Bacteroidetes,Caldiserica,Chlorobi,Chloroflexi,Firmicutes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Bacteria Other,Archaea
0-10,62,100,100,100,100,4.73,55.6,84.27815571,26.69589789,31.81,5.24,1.56,0,1.21,8.77,0.08,0.59,4.27,10.72,9.33,3.76,6.77,12.14,2.97,0.37
10-20,62,100,100,100,100,4.84,14.2,79.18215613,25.85939808,13.42,4.29,7.6,0.02,4.91,16.48,0.57,0.72,1.82,2.16,2.45,0.58,20.64,16.59,5.83,1.57
20-30,51,100,100,100,100,4.51,15.8,76.14678899,23.43741194,10.92,4.47,14.28,0.12,5.08,16.88,0.72,0.25,1.47,0.8,1.1,0.12,19.57,16.5,5.96,1.09
30-40,41,52.94117647,100,100,100,4.38,15.4,76.03249831,23.49169469,7.35,4.03,18.06,0.66,5.94,14.78,1.73,0.15,2.03,0.29,0.85,0.14,17.15,18.7,6.51,0.92
40-50,32,5.882352941,100,100,100,4.37,14.3,67.5,18.58910081,7.63,7.16,16.83,1.66,3.57,9.3,1,0.14,1.53,1.03,1.5,0.1,12.65,29.4,5.37,0.57
50-60,18,0,82.35294118,100,100,4.35,14.8,67.90986791,19.45389385,6.39,8.41,15.76,1.81,3.62,12.47,1.16,0.14,1.95,0.76,0.87,0.09,13.74,25.17,5.97,0.77
60-70,11,0,35.29411765,50,80,4.33,17.3,80.09708738,19.93432403,6.45,7.45,19.72,3.4,3.61,9,2.68,0.23,2.45,0.51,1.54,0.09,11.42,20.13,8.75,0.82
70-80,0,0,0,0,0,4.29,22.9,74.61077844,17.95186765,6.36,8.04,25.29,2.68,2.48,8.34,3.23,0.1,2.33,0.29,1.9,0.1,8.25,15.28,11.82,0.85
80-90,0,0,0,0,0,5.09,19.6,81.61888702,20.98926136,2.56,16.08,47.02,3.66,0.55,2.68,18.79,0.01,0.49,0.31,0.33,0.01,2.05,3.28,1.65,0.28
90-100,0,0,0,0,0,5.16,38.7,79.66101695,21.15507998,6.38,13.7,19.73,2.6,2.45,10.85,12.3,0.12,1.58,2,1.66,0.41,8.24,12.26,4.42,0.6