,site_tundra,Site,Tundra,Soil,Increment,Layer,Depth,pH,EC,GWC,OM,OC
ITT_0_10,ITT,Imnavait,MAT,organic,0-10,active,0,4.61,73.7,88.0044843,94.39947902,33.88941297
ITT_10_20,ITT,Imnavait,MAT,organic,10-20,active,10,5.02,8.3,72.7739726,44.73208337,16.05881793
ITT_20_30,ITT,Imnavait,MAT,mineral,20-30,active,20,5.28,5.9,24.30044183,8.333632287,0.566686996
ITT_30_40,ITT,Imnavait,MAT,mineral,30-40,active,30,5.28,20.9,43.86574074,18.50976776,1.258664208
ITT_40_50,ITT,Imnavait,MAT,mineral,40-50,permafrost,40,5.48,17.4,23.27586207,7.41872778,0.504473489
ITT_50_60,ITT,Imnavait,MAT,mineral,50-60,permafrost,50,5.65,8.7,23.84976526,6.912422197,0.470044709
ITT_60_70,ITT,Imnavait,MAT,mineral,60-70,permafrost,60,5.62,19.7,20.41998552,5.877866962,0.399694953
IWS_0_10,IWS,Imnavait,WS,organic,0-10,active,0,4.73,55.6,84.27815571,74.36183257,26.69589789
IWS_10_20,IWS,Imnavait,WS,organic,10-20,active,10,4.84,14.2,79.18215613,72.03174953,25.85939808
IWS_20_30,IWS,Imnavait,WS,organic,20-30,active,20,4.51,15.8,76.14678899,65.28527004,23.43741194
IWS_30_40,IWS,Imnavait,WS,organic,30-40,active,30,4.38,15.4,76.03249831,65.43647547,23.49169469
IWS_40_50,IWS,Imnavait,WS,organic,40-50,active,40,4.37,14.3,67.5,51.7802251,18.58910081
IWS_50_60,IWS,Imnavait,WS,organic,50-60,permafrost,50,4.35,14.8,67.90986791,54.18911936,19.45389385
IWS_60_70,IWS,Imnavait,WS,organic,60-70,permafrost,60,4.33,17.3,80.09708738,55.52736499,19.93432403
IWS_70_80,IWS,Imnavait,WS,organic,70-80,permafrost,70,4.29,22.9,74.61077844,50.00520237,17.95186765
IWS_80_90,IWS,Imnavait,WS,organic,80-90,permafrost,80,5.09,19.6,81.61888702,58.46590909,20.98926136
IWS_90_100,IWS,Imnavait,WS,organic,90-100,permafrost,90,5.16,38.7,79.66101695,58.92779939,21.15507998
STT_0_10,STT,Sagwon,MAT,organic,0-10,active,0,5.78,43.8,74.02164863,64.4301089,23.1304091
STT_10_20,STT,Sagwon,MAT,organic,10-20,active,10,6.01,27.3,40.29329609,16.7159035,6.001009355
STT_20_30,STT,Sagwon,MAT,organic,20-30,active,20,5.79,33.4,35.68313953,13.20454726,4.740432467
STT_30_40,STT,Sagwon,MAT,organic,30-40,active,30,6.18,24.1,31.78758414,13.79642976,0.938157224
STT_40_50,STT,Sagwon,MAT,organic,40-50,permafrost,40,6.17,18.7,61.87845304,33.90631341,2.305629312
STT_50_60,STT,Sagwon,MAT,mineral,50-60,permafrost,50,6.02,73.5,57.46516257,31.21174642,2.122398757
STT_60_70,STT,Sagwon,MAT,mineral,60-70,permafrost,60,6.47,177.4,57.24637681,25.18818939,1.712796878
STT_70_80,STT,Sagwon,MAT,mineral,70-80,permafrost,70,6.69,190.4,51.05008078,21.56173913,1.466198261
STT_80_90,STT,Sagwon,MAT,mineral,80-90,permafrost,80,6.96,172.1,38.29787234,14.95038149,1.016625941
SWS_0_10,SWS,Sagwon,WS,organic,0-10,active,0,5.26,65.3,72.12885154,75.29730543,27.03173265
SWS_10_20,SWS,Sagwon,WS,organic,10-20,active,10,5.81,70.7,75.37437604,77.59378664,27.8561694
SWS_20_30,SWS,Sagwon,WS,organic,20-30,active,20,5.93,34.3,77.32793522,79.68943196,28.60850607
SWS_30_40,SWS,Sagwon,WS,organic,30-40,active,30,5.91,33.8,82.94372294,87.62516734,31.45743507
SWS_40_50,SWS,Sagwon,WS,organic,40-50,permafrost,40,5.74,43.3,90.4822335,89.28415856,32.05301292
SWS_50_60,SWS,Sagwon,WS,organic,50-60,permafrost,50,5.76,18.8,86.37037037,89.44246738,32.10984579
SWS_60_70,SWS,Sagwon,WS,organic,60-70,permafrost,60,5.66,102.4,87.87085515,88.58090675,31.80054552
TTT_0_10,TTT,Toolik,MAT,organic,0-10,active,0,4.1,93.6,84.59343795,84.11819021,30.19843029
TTT_10_20,TTT,Toolik,MAT,organic,10-20,active,10,4.48,39.6,86.51315789,71.39909203,25.63227404
TTT_20_30,TTT,Toolik,MAT,mineral,20-30,active,20,4.71,6.1,21.85354691,4.862181387,0.330628334
TTT_30_40,TTT,Toolik,MAT,mineral,30-40,active,30,4.62,4.8,28.47457627,6.862329453,0.466638403
TTT_40_50,TTT,Toolik,MAT,mineral,40-50,permafrost,40,5.36,21,55.09977827,21.50305645,1.462207839
TTT_50_60,TTT,Toolik,MAT,mineral,50-60,permafrost,50,5.46,20.5,67.14559387,23.88769422,1.624363207
TTT_60_70,TTT,Toolik,MAT,mineral,60-70,permafrost,60,5.28,20.6,72.24118316,27.19873664,1.849514091
TTT_70_80,TTT,Toolik,MAT,mineral,70-80,permafrost,70,5.56,26.7,46.5631929,17.74561363,1.206701727
TTT_80_90,TTT,Toolik,MAT,organic,80-90,permafrost,80,5.28,43.1,65.39485359,51.33560714,3.490821285
TWS_0_10,TWS,Toolik,WS,organic,0-10,active,0,5.56,43.6,79.37181664,64.54849498,23.1729097
TWS_10_20,TWS,Toolik,WS,organic,10-20,active,10,5.78,18.2,78.98140663,73.37620087,26.34205611
TWS_20_30,TWS,Toolik,WS,organic,20-30,active,20,5.63,15.5,77.93814433,65.0755287,23.3621148
TWS_30_40,TWS,Toolik,WS,organic,30-40,active,30,5.16,14.9,77.17908082,67.32931797,24.17122515
TWS_40_50,TWS,Toolik,WS,organic,40-50,active,40,5.1,19.8,76.16487455,60.70999249,21.7948873
TWS_50_60,TWS,Toolik,WS,organic,50-60,permafrost,50,5.16,8.8,83.46456693,68.63769661,24.64093308
TWS_60_70,TWS,Toolik,WS,organic,60-70,permafrost,60,5.07,19.5,84.56521739,71.43659711,25.64573836
TWS_70_80,TWS,Toolik,WS,organic,70-80,permafrost,70,5.21,14.4,85.22537563,64.52072539,23.16294041
TWS_80_90,TWS,Toolik,WS,organic,80-90,permafrost,80,5.27,13,87.55846586,67.04745167,24.07003515