,site_tundra,Site,Tundra,Layer,Soil,Acidobacteria,Planctomycetes,Alphaproteobacteria,Gammaproteobacteria,Gemmatimonadetes,Nitrospirae,Verrucomicrobia,Actinobacteria,Bacteroidetes,Caldiserica,Firmicutes,Betaproteobacteria,Deltaproteobacteria,Armatimonadetes,Chlorobi,Chloroflexi,Bacteria_Other,Archaea
TWS_0_10,TWS,Toolik,WS,Active,Organic,14.89888486,3.169132648,6.629429358,6.350149543,0.219858577,6.011448492,12.8290451,5.722265138,3.644502545,0,0.198070791,10.47992553,12.73793254,0.346623883,1.735100125,10.26204766,3.70590449,1.059678729
TWS_10_20,TWS,Toolik,WS,Active,Organic,4.977518965,2.471923465,1.394418365,0.62392299,0.067344069,2.0797433,10.07982253,6.641313605,14.14819657,0.003961416,0.889337849,1.84403906,20.49438469,0.423871492,3.927743776,17.28563789,10.00653634,2.640283637
TWS_20_30,TWS,Toolik,WS,Active,Organic,3.480103789,2.261968428,0.568463169,0.186186543,0.017826371,0.13270743,9.38855547,10.28185473,15.38613901,0.305029017,2.634341514,0.402083705,18.83257076,0.647691485,3.666290332,16.59635154,12.99344386,2.218392854
TWS_30_40,TWS,Toolik,WS,Active,Organic,2.032206311,1.661813932,0.077247608,0.08517044,0.229762117,0.091112564,11.03452374,9.497494405,20.08041674,0.994315368,5.692554519,0.29314477,16.16851863,0.871511478,3.806920593,13.87089746,12.57353378,0.938855547
TWS_40_50,TWS,Toolik,WS,Active,Organic,2.026264187,2.196605067,0.005942124,0.061401945,0.221839285,0.007922832,14.27298116,7.673262424,19.46243587,1.996553568,6.871075722,1.069582269,13.304415,0.748707588,3.587062016,13.43316101,11.7772892,1.283498722
TWS_50_60,TWS,Toolik,WS,Permafrost,Organic,1.772733575,0.976488997,0.057440529,0.0752669,0,0.059421237,7.386059778,21.69271298,34.82678709,2.584823816,4.5100719,2.422405768,7.320696417,0.629865114,1.142868461,8.869609999,5.098342147,0.574405292
TWS_60_70,TWS,Toolik,WS,Permafrost,Organic,1.79650207,0.693247767,0.334739636,0.421890784,0,0,3.05425159,24.1804821,38.80206786,1.562778537,4.910174897,1.315190049,5.767821419,0.055459821,0.736823341,9.826291917,5.975795749,0.566482461
TWS_70_80,TWS,Toolik,WS,Permafrost,Organic,1.13494563,0.310971141,0.33077822,0.04753699,0,0.019807079,1.461762434,36.99962367,28.84504922,5.736130093,4.533840395,0.356527423,6.962188286,0.390199457,0.346623883,10.40267792,1.568720661,0.552617505
TWS_80_90,TWS,Toolik,WS,Permafrost,Organic,0.863588647,0.215897162,0.192128667,0.091112564,0.001980708,0.029710619,1.059678729,40.92736744,25.1807396,6.631410066,5.147859845,0.247588488,6.342226712,0.352566007,0.097054687,11.18703825,0.984411829,0.447639987
IWS_0_10,IWS,Imnavait,WS,Active,Organic,31.81214966,4.272386951,10.71562977,3.761364312,0.239665657,0.588270248,12.14372017,5.235010993,1.558817121,0,0.0752669,9.325172817,6.772040327,0.186186543,1.206251114,8.768593895,2.973042565,0.366430962
IWS_10_20,IWS,Imnavait,WS,Active,Organic,13.41929606,1.820270565,2.155010201,0.580347416,0.019807079,0.71899697,16.5884287,4.290213322,7.601956939,0.021787787,0.566482461,2.450135678,20.63501495,0.34068176,4.910174897,16.47750906,5.831204072,1.572682077
IWS_20_30,IWS,Imnavait,WS,Active,Organic,10.91964268,1.467704558,0.804167409,0.120823182,0.192128667,0.247588488,16.50325826,4.47243845,14.280904,0.12280389,0.717016262,1.095331471,19.56543269,0.477350605,5.080515776,16.88157347,5.959950086,1.091370056
IWS_30_40,IWS,Imnavait,WS,Active,Organic,7.350407035,2.028244895,0.289183354,0.142610969,0.101016103,0.148553093,18.69590192,4.030740587,18.06207539,0.659575732,1.725196585,0.853685107,17.15293046,0.614019451,5.940143007,14.77608097,6.510586884,0.919048468
IWS_40_50,IWS,Imnavait,WS,Permafrost,Organic,7.633648266,1.527125795,1.033929526,0.099035395,0.108938935,0.140630261,29.40360885,7.160259077,16.83403648,1.657852516,1.000257492,1.497415176,12.65474281,0.437736447,3.569235645,9.301404322,5.365737715,0.574405292
IWS_50_60,IWS,Imnavait,WS,Permafrost,Organic,6.385802286,1.945055163,0.75663042,0.087151148,0.247588488,0.144591677,25.17281676,8.410085765,15.76247351,1.806405609,1.156733417,0.86953077,13.74017074,0.679382811,3.618753342,12.47449839,5.967872918,0.774456791
IWS_60_70,IWS,Imnavait,WS,Permafrost,Organic,6.451165647,2.454097094,0.514984055,0.08517044,0.0752669,0.227781409,20.12993444,7.451423139,19.72388932,3.400875473,2.681878503,1.539010042,11.42274249,1.661813932,3.606869095,8.998356012,8.75472894,0.820013073
IWS_70_80,IWS,Imnavait,WS,Permafrost,Organic,6.360053083,2.333273912,0.289183354,0.101016103,0.130726722,0.104977519,15.27720007,8.041674094,25.28571712,2.679897795,3.230534593,1.895537465,8.25360984,2.523421871,2.481827005,8.340760988,11.81690336,0.853685107
IWS_80_90,IWS,Imnavait,WS,Permafrost,Organic,2.555113197,0.493196268,0.305029017,0.00990354,0.007922832,0.011884247,3.280052291,16.07542536,47.02398637,3.664309624,18.78899519,0.33077822,2.048051974,0.249569196,0.54865609,2.681878503,1.649929685,0.275318399
IWS_90_100,IWS,Imnavait,WS,Permafrost,Organic,6.383821578,1.582585616,1.996553568,0.410006536,0.205993622,0.116861766,12.25662052,13.70253729,19.73379286,2.596708063,12.30415751,1.66379464,8.235783469,0.489234853,2.454097094,10.84635649,4.418959336,0.602135203
SWS_0_10,SWS,Sagwon,WS,Active,Organic,20.34979302,6.247152732,13.03503872,8.410085765,0.221839285,0,17.98680849,8.437815675,7.077069345,0,0.360488839,4.308039693,5.696515935,0.610058035,0.154495217,1.170598372,5.847049736,0.087151148
SWS_10_20,SWS,Sagwon,WS,Active,Organic,17.92540654,2.33525462,10.62253649,1.057698021,1.027987403,4.722007646,34.09392517,8.483371957,2.462019926,0,0.051498406,8.239744885,2.729415493,0.031691326,0.241646364,4.583358092,1.336977836,0.055459821
SWS_20_30,SWS,Sagwon,WS,Active,Organic,36.81937925,1.814328441,11.60694832,0.853685107,1.790559946,2.05201339,13.67480738,5.954007962,2.925505576,0,0.152514509,9.840156872,4.306058985,0.0752669,0.390199457,5.938162299,1.713312338,0.093093272
SWS_30_40,SWS,Sagwon,WS,Active,Organic,22.74050746,2.000514984,9.232079545,7.526690039,0.919048468,0.138649553,10.13330164,8.293223998,8.5942916,0.029710619,0.198070791,15.87735457,6.156040169,0.257492028,0.211935746,2.158971616,5.510329392,0.021787787
SWS_40_50,SWS,Sagwon,WS,Permafrost,Organic,1.614276943,1.416206152,8.536851071,1.602392695,0.077247608,0.011884247,1.293402262,26.11761444,18.21458989,9.863925367,4.034702002,2.656129301,6.425416444,0.445659279,0.269376275,5.95598867,10.6245172,0.839820152
SWS_50_60,SWS,Sagwon,WS,Permafrost,Organic,1.410264028,1.562778537,8.940915483,1.212193238,0.023768495,0.083189732,1.479588805,30.72474102,13.43910314,5.011191,5.492503021,0.717016262,5.841107612,0.079228316,0.459524234,9.493532989,12.62305148,1.406302613
SWS_60_70,SWS,Sagwon,WS,Permafrost,Organic,2.016360647,1.350842791,8.435834967,0.677402104,0.03763345,0.013864955,1.546932874,35.02287718,14.5324539,4.379345178,4.951769763,1.307267217,5.648978945,0.136668845,0.451601402,9.432131044,8.92506982,1.132964922