Year,Depth,Probability,Layer
1990,0,1,0
1991,0,1,0
1992,0,1,0
1993,0,1,0
1994,0,1,0
1995,0,1,0
1996,0,1,0
1997,0,1,0
1998,0,1,0
1999,0,1,0
2000,0,1,0
2001,0,1,0
2002,0,1,0
2003,0,1,0
2004,0,1,0
2005,0,1,0
2006,0,1,0
2007,0,1,0
2008,0,1,0
2009,0,1,0
2010,0,1,0
2011,0,1,0
2012,0,1,0
2013,0,1,0
2014,0,1,0
2015,0,1,0
2016,0,1,0
2017,0,1,0
2018,0,1,0
2019,0,1,0
2020,0,1,0
1990,10,1,0
1991,10,1,0
1992,10,1,0
1993,10,1,0
1994,10,1,0
1995,10,1,0
1996,10,1,0
1997,10,1,0
1998,10,1,0
1999,10,1,0
2000,10,1,0
2001,10,1,0
2002,10,1,0
2003,10,1,0
2004,10,1,0
2005,10,1,0
2006,10,1,0
2007,10,1,0
2008,10,1,0
2009,10,1,0
2010,10,1,0
2011,10,1,0
2012,10,1,0
2013,10,1,0
2014,10,1,0
2015,10,1,0
2016,10,1,0
2017,10,1,0
2018,10,1,0
2019,10,1,0
2020,10,1,0
1990,20,1,0
1991,20,1,0
1992,20,1,0
1993,20,1,0
1994,20,1,0
1995,20,1,0
1996,20,1,0
1997,20,1,0
1998,20,1,0
1999,20,1,0
2000,20,1,0
2001,20,1,0
2002,20,1,0
2003,20,1,0
2004,20,1,0
2005,20,1,0
2006,20,1,0
2007,20,1,0
2008,20,1,0
2009,20,1,0
2010,20,1,0
2011,20,1,0
2012,20,1,0
2013,20,1,0
2014,20,1,0
2015,20,1,0
2016,20,1,0
2017,20,1,0
2018,20,1,0
2019,20,1,0
2020,20,1,0
1990,30,1,0
1991,30,0,0
1992,30,1,0
1993,30,1,0
1994,30,1,0
1995,30,1,0
1996,30,1,0
1997,30,1,0
1998,30,1,0
1999,30,1,0
2000,30,1,0
2001,30,1,0
2002,30,1,0
2003,30,1,0
2004,30,1,0
2005,30,1,0
2006,30,1,0
2007,30,1,0
2008,30,1,0
2009,30,1,0
2010,30,1,0
2011,30,1,0
2012,30,1,0
2013,30,1,0
2014,30,1,0
2015,30,1,0
2016,30,1,0
2017,30,1,0
2018,30,1,0
2019,30,1,0
2020,30,1,0
1990,40,0,1
1991,40,0,1
1992,40,1,1
1993,40,1,1
1994,40,0,1
1995,40,1,1
1996,40,0,1
1997,40,1,1
1998,40,1,1
1999,40,1,1
2000,40,0,1
2001,40,0,1
2002,40,0,1
2003,40,1,1
2004,40,1,1
2005,40,0,1
2006,40,0,1
2007,40,1,1
2008,40,0,1
2009,40,1,1
2010,40,1,1
2011,40,1,1
2012,40,0,1
2013,40,1,1
2014,40,0,1
2015,40,1,1
2016,40,1,1
2017,40,1,1
2018,40,1,1
2019,40,1,1
2020,40,1,1
1990,50,0,1
1991,50,0,1
1992,50,0,1
1993,50,0,1
1994,50,0,1
1995,50,0,1
1996,50,0,1
1997,50,0,1
1998,50,0,1
1999,50,0,1
2000,50,0,1
2001,50,0,1
2002,50,0,1
2003,50,0,1
2004,50,0,1
2005,50,0,1
2006,50,0,1
2007,50,0,1
2008,50,0,1
2009,50,1,1
2010,50,0,1
2011,50,0,1
2012,50,0,1
2013,50,0,1
2014,50,0,1
2015,50,0,1
2016,50,0,1
2017,50,0,1
2018,50,0,1
2019,50,0,1
2020,50,0,1
1990,60,0,1
1991,60,0,1
1992,60,0,1
1993,60,0,1
1994,60,0,1
1995,60,0,1
1996,60,0,1
1997,60,0,1
1998,60,0,1
1999,60,0,1
2000,60,0,1
2001,60,0,1
2002,60,0,1
2003,60,0,1
2004,60,0,1
2005,60,0,1
2006,60,0,1
2007,60,0,1
2008,60,0,1
2009,60,0,1
2010,60,0,1
2011,60,0,1
2012,60,0,1
2013,60,0,1
2014,60,0,1
2015,60,0,1
2016,60,0,1
2017,60,0,1
2018,60,0,1
2019,60,0,1
2020,60,0,1